City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
227,Abomey,BJ,7.1829,1.9912,73.96,92,53,6.8,2022-05-30 23:21:24,broken clouds
228,Celestun,MX,20.8667,-90.4,85.15,66,98,15.26,2022-05-30 23:21:25,overcast clouds
229,Quelimane,MZ,-17.8786,36.8883,71.55,68,0,4.61,2022-05-30 23:22:25,clear sky
230,Ambovombe,MG,-25.1667,46.0833,65.43,81,0,2.59,2022-05-30 23:22:25,clear sky
231,Pangnirtung,CA,66.1451,-65.7125,32.58,91,15,1.3,2022-05-30 23:22:25,few clouds
232,Halifax,CA,44.6453,-63.5724,75.09,59,75,13.8,2022-05-30 23:17:48,broken clouds
233,Kuruman,ZA,-27.4524,23.4325,45.19,50,2,7.81,2022-05-30 23:22:26,clear sky
234,Macultepec,MX,18.1667,-92.8333,92.08,56,75,6.91,2022-05-30 23:22:26,broken clouds
235,Aswan,EG,24.0934,32.907,88.25,10,0,9.42,2022-05-30 23:22:26,clear sky
236,Bam,IR,29.106,58.357,74.84,8,2,9.75,2022-05-30 23:22:27,clear sky
237,Goderich,CA,43.7501,-81.7165,79.12,47,100,16.11,2022-05-30 23:22:27,overcast clouds
238,Smolenskoye,RU,52.3044,85.0781,58.26,76,100,4.09,2022-05-30 23:22:27,overcast clouds
239,Nelson Bay,AU,-32.7167,152.15,59.11,61,83,4.0,2022-05-30 23:22:27,broken clouds
240,Hami,CN,42.8,93.45,76.19,25,0,4.36,2022-05-30 23:22:28,clear sky
241,Akyab,MM,20.15,92.9,80.44,87,59,8.28,2022-05-30 23:22:28,broken clouds
242,Mount Pleasant,US,32.7941,-79.8626,82.31,81,20,8.05,2022-05-30 23:17:29,few clouds
243,Okha,RU,53.5739,142.9478,39.49,89,100,14.72,2022-05-30 23:22:28,overcast clouds
244,Totness,SR,5.8833,-56.3167,78.64,86,79,11.03,2022-05-30 23:22:29,broken clouds
245,Makakilo City,US,21.3469,-158.0858,82.72,52,100,16.11,2022-05-30 23:21:11,overcast clouds
246,Litovko,RU,49.2361,135.1742,51.93,93,100,4.7,2022-05-30 23:22:29,light rain
247,Jipijapa,EC,-1.3333,-80.5833,69.3,88,100,6.06,2022-05-30 23:22:29,overcast clouds
248,Chokurdakh,RU,70.6333,147.9167,41.5,67,83,8.61,2022-05-30 23:22:29,broken clouds
249,Codrington,AU,-38.2667,141.9667,48.79,66,96,18.57,2022-05-30 23:22:30,overcast clouds
250,Jeremie,HT,18.65,-74.1167,81.37,79,79,3.87,2022-05-30 23:22:30,broken clouds
251,Mayo,US,38.8876,-76.5119,89.73,66,0,14.97,2022-05-30 23:22:30,clear sky
252,Naze,JP,28.3667,129.4833,72.52,83,91,8.03,2022-05-30 23:22:31,light rain
253,Ilulissat,GL,69.2167,-51.1,37.42,65,20,11.5,2022-05-30 23:22:31,few clouds
254,Bulaevo,KZ,54.9056,70.4439,54.0,88,100,6.22,2022-05-30 23:22:31,overcast clouds
255,Esso,RU,55.9333,158.7,44.04,83,80,2.26,2022-05-30 23:22:31,broken clouds
256,Nizhnevartovsk,RU,60.9344,76.5531,44.62,93,0,4.47,2022-05-30 23:22:32,clear sky
257,Whitehorse,CA,60.7161,-135.0538,69.03,19,75,6.91,2022-05-30 23:22:32,broken clouds
258,Sarkand,KZ,45.41,79.9186,58.5,72,100,3.69,2022-05-30 23:22:32,overcast clouds
259,Chicama,PE,-7.8447,-79.1469,61.34,74,9,5.7,2022-05-30 23:22:33,clear sky
260,Yellowknife,CA,62.456,-114.3525,57.72,33,20,9.22,2022-05-30 23:22:33,few clouds
261,Portobelo,PA,9.55,-79.65,80.96,88,99,6.53,2022-05-30 23:22:33,overcast clouds
262,Kragero,NO,58.8693,9.4149,51.58,80,93,6.15,2022-05-30 23:22:33,overcast clouds
263,Udachnyy,RU,66.4167,112.4,42.26,60,67,10.92,2022-05-30 23:22:34,broken clouds
264,Salalah,OM,17.0151,54.0924,84.29,84,75,5.75,2022-05-30 23:22:34,broken clouds
265,Hovd,MN,48.0056,91.6419,60.84,29,100,0.96,2022-05-30 23:22:34,overcast clouds
266,Kavaratti,IN,10.5669,72.642,82.29,73,78,12.03,2022-05-30 23:22:35,broken clouds
267,Mandalgovi,MN,45.7625,106.2708,49.93,54,42,18.9,2022-05-30 23:22:35,scattered clouds
268,Guiyang,CN,26.5833,106.7167,66.69,94,40,4.47,2022-05-30 23:22:35,scattered clouds
269,Riyadh,SA,24.6877,46.7219,78.94,11,0,5.28,2022-05-30 23:19:23,clear sky
270,Ciudad Bolivar,VE,8.1222,-63.5497,85.8,54,100,7.65,2022-05-30 23:22:35,overcast clouds
271,Margate,GB,51.3813,1.3862,50.31,75,98,1.01,2022-05-30 23:22:36,overcast clouds
