City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
312,Turbat,PK,82.78,clear sky,26.0023,63.044,Mubashar Quarters
314,Pacific Grove,US,78.39,scattered clouds,36.6177,-121.9166,Lovers Point Inn
315,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
322,Tello,CO,79.21,scattered clouds,3.0669,-75.1378,Luis fernando cruz triana
323,Pennadam,IN,82.44,overcast clouds,11.4,79.2333,Muthu Home Lodge A/C
332,Yurimaguas,PE,80.38,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
335,Mandera,KE,78.08,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
336,Waddan,LY,84.94,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
340,Garowe,SO,81.18,clear sky,8.4054,48.4845,Curubo Hotel
342,Hobyo,SO,78.21,clear sky,5.3505,48.5268,Iftin hotel hobyo
345,Fitii,PF,79.61,scattered clouds,-16.7333,-151.0333,Maitai Lapita Village Huahine
346,Carroll,US,87.28,scattered clouds,39.5501,-77.0164,Best Western Westminster Hotel
350,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
352,Luganville,VU,83.8,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
355,Den Chai,TH,75.42,light rain,17.9837,100.0522,Ruean Saen Hotel
362,Mombaca,BR,78.15,scattered clouds,-5.7431,-39.6275,Mombaça Premium Hotel
364,Boa Vista,BR,85.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
366,Bartlesville,US,85.1,scattered clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
371,Kudahuvadhoo,MV,81.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
377,Bubaque,GW,79.29,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
378,Gloversville,US,83.14,broken clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
381,Puerto Carreno,CO,87.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
382,Davila,PH,80.58,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
384,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
385,Iracoubo,GF,78.06,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
386,Dingle,PH,76.84,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
387,Fulton,US,81.39,broken clouds,33.7668,-84.4499,The Blue Door
388,Kapuskasing,CA,77.09,overcast clouds,49.4169,-82.4331,Park Inn Motel
390,Mogadishu,SO,79.48,overcast clouds,2.0371,45.3438,Hotel Juba
401,Abu Zabad,SD,84.06,scattered clouds,12.35,29.25,حامد محمد نور
402,Remedios,CU,81.52,overcast clouds,22.4947,-79.5458,Hostal Yunai
